Size,1,3,7,15,31,63,127,255,511,1023,2047,4095,8191,16381,32760,65506,130985,261804,522892,1043097,2075206,4107268,4876656
Finds,82363,94192,129663,111315,147191,57900,37099,34251,28542,34249,32621,31398,30992,33029,31802,8155,13046,10194,14678,18351,17534,20794,63607
Adds,445668,517019,592455,574107,781655,772684,373903,138638,128032,135781,103567,75430,54640,74614,48929,42000,40773,41593,55859,67273,99489,124769,141490
Removes,168807,167178,187153,195724,423241,134148,123955,107647,1082973,101527,84811,40770,37510,39142,26913,20390,9786,8560,10192,16720,13453,19161,53412
Circular Finds,79104,315190,505200,704177,993674,1035675,689906,366975,78287,100306,108052,121917,117434,168808,175328,162283,223852,201425,203877,244241,281344,310295,382871
Circular Adds,403671,522324,941485,890927,1316201,1303573,1015287,530887,152491,176143,145574,146787,114577,149233,153308,135367,233640,191640,194903,232008,268298,299693,346584
Circular Removes,398774,563097,826501,945970,1203259,1224867,898267,455865,128848,131697,132115,155761,116209,174104,157800,130887,209169,187567,183078,213659,254843,304183,336795
Exploited Finds,73396,84811,105610,130074,186341,35879,35883,38329,46074,100308,198989,623856,721305,6654425,9574701,12868887,82545426,48864342,158919208,350371701,1027442565,2987975966,4009734537
Exploited Adds,449745,568803,552090,637306,2013854,820796,655656,167587,171663,263405,406933,1208975,1354943,11245649,16552476,25003831,168460077,97490158,323976639,685801119,2012005281,5861307872,8336814130
Exploited Removes,161058,166359,174516,240156,672371,128034,121100,114166,120284,147195,194493,469724,613251,3912734,6006517,10453801,60500612,39645198,141412206,283728792,727751313,2244892978,2776708214
Exploited Circular Finds,73800,154131,358410,528444,763300,506421,291132,63202,69316,81548,96227,201833,120285,292352,327831,327414,497452,457903,621809,762079,892556,925991,1329254
Exploited Circular Adds,326198,487666,531698,727827,1169826,755146,576961,171668,161063,183895,160244,170033,141488,318852,336793,362895,659738,541079,689501,1005510,928845,951677,1259936
Exploited Circular Removes,461156,506415,624257,669924,1656268,741690,515391,296839,120285,123950,123549,151275,143935,229973,402041,315597,506836,433027,584300,666264,733942,772677,972878